Name,ShapeQuery,TanimotoCombo,ShapeTanimoto,ColorTanimoto
BB2_13_133,mini_1ix1_model0_chainA_BB2_resi1301__chainA_1,0.809,0.672,0.136
BB2_26_84,mini_1ix1_model0_chainA_BB2_resi1301__chainA_1,0.803,0.618,0.184
BB2_29_235,mini_1ix1_model0_chainA_BB2_resi1301__chainA_1,0.789,0.531,0.258
TNK_18_197,mini_1jla_model0_chainA_TNK_resi999__chainA_1,0.953,0.622,0.331
TNK_4_136,mini_1jla_model0_chainA_TNK_resi999__chainA_1,0.935,0.65,0.285
TNK_10_136,mini_1jla_model0_chainA_TNK_resi999__chainA_1,0.93,0.747,0.183
BRZ_13_10,mini_1k3t_model0_chainC_BRZ_resi960__chainC_altA_1,0.962,0.75,0.212
BRZ_3_5,mini_1k3t_model0_chainC_BRZ_resi960__chainC_altA_1,0.903,0.657,0.246
BRZ_5_119,mini_1k3t_model0_chainC_BRZ_resi960__chainC_altA_1,0.899,0.664,0.235
LS1_32_108,mini_1ke5_model0_chainA_LS1_resi299__chainA_1,0.974,0.673,0.302
LS1_28_1,mini_1ke5_model0_chainA_LS1_resi299__chainA_1,0.974,0.728,0.246
LS1_26_114,mini_1ke5_model0_chainA_LS1_resi299__chainA_1,0.958,0.762,0.196
LS2_24_45,mini_1ke6_model0_chainA_LS2_resi299__chainA_1,0.959,0.632,0.327
LS2_10_5,mini_1ke6_model0_chainA_LS2_resi299__chainA_1,0.95,0.702,0.248
LS2_32_265,mini_1ke6_model0_chainA_LS2_resi299__chainA_1,0.906,0.642,0.264
LS4_17_8,mini_1ke8_model0_chainA_LS4_resi299__chainA_1,0.895,0.682,0.213
LS4_21_51,mini_1ke8_model0_chainA_LS4_resi299__chainA_1,0.876,0.678,0.198
LS4_23_17,mini_1ke8_model0_chainA_LS4_resi299__chainA_1,0.822,0.588,0.234
LIH_9_200,mini_1kms_model0_chainA_LIH_resi201__chainA_altA_1,1.123,0.798,0.325
LIH_20_10,mini_1kms_model0_chainA_LIH_resi201__chainA_altA_1,1.003,0.742,0.261
LIH_6_27,mini_1kms_model0_chainA_LIH_resi201__chainA_altA_1,0.983,0.684,0.299
BMU_18_117,mini_1kv1_model0_chainA_BMU_resi391__chainA_1,1.209,0.713,0.496
BMU_19_24,mini_1kv1_model0_chainA_BMU_resi391__chainA_1,1.153,0.762,0.391
BMU_16_0,mini_1kv1_model0_chainA_BMU_resi391__chainA_1,1.113,0.765,0.348
STC_10_7,mini_1l2s_model0_chainB_STC_resi3115__chainB_altB_chainA_1,1.089,0.787,0.302
STC_31_18,mini_1l2s_model0_chainB_STC_resi3115__chainB_altB_chainA_1,1.024,0.609,0.416
